2024-03-09 03:37:42,565 - TeaMonitor Computer Network Activity -INFO - Обновление данных о сети...
2024-03-09 03:37:42,569 - TeaMonitor Computer Network Activity -INFO - Соединение 1: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54547, Тип соединения: TCP
2024-03-09 03:37:42,570 - TeaMonitor Computer Network Activity -INFO - Соединение 2: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54578, Тип соединения: TCP
2024-03-09 03:37:42,576 - TeaMonitor Computer Network Activity -INFO - Соединение 3: Имя процесса: System, PID: 4, Протокол: ::, Порт: 445, Тип соединения: TCP
2024-03-09 03:37:42,581 - TeaMonitor Computer Network Activity -INFO - Соединение 5: Имя процесса: svchost.exe, PID: 4660, Протокол: ::, Порт: 49674, Тип соединения: TCP
2024-03-09 03:37:42,586 - TeaMonitor Computer Network Activity -INFO - Соединение 6: Имя процесса: svchost.exe, PID: 13696, Протокол: fe80::a5c:12e:821e:e065, Порт: 53416, Тип соединения: UDP
2024-03-09 03:37:42,593 - TeaMonitor Computer Network Activity -INFO - Соединение 7: Имя процесса: svchost.exe, PID: 4404, Протокол: 127.0.0.1, Порт: 62238, Тип соединения: UDP
2024-03-09 03:37:42,593 - TeaMonitor Computer Network Activity -INFO - Соединение 8: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54549, Тип соединения: TCP
2024-03-09 03:37:42,594 - TeaMonitor Computer Network Activity -INFO - Соединение 10: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54576, Тип соединения: TCP
2024-03-09 03:37:42,594 - TeaMonitor Computer Network Activity -INFO - Соединение 11: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 55591, Тип соединения: TCP
2024-03-09 03:37:42,594 - TeaMonitor Computer Network Activity -INFO - Соединение 12: Имя процесса: SearchHost.exe, PID: 7172, Протокол: 192.168.1.168, Порт: 56803, Тип соединения: TCP
2024-03-09 03:37:42,594 - TeaMonitor Computer Network Activity -INFO - Соединение 13: Имя процесса: java.exe, PID: 15964, Протокол: 127.0.0.1, Порт: 33343, Тип соединения: TCP
2024-03-09 03:37:42,606 - TeaMonitor Computer Network Activity -INFO - Соединение 14: Имя процесса: svchost.exe, PID: 13696, Протокол: fe80::a5c:12e:821e:e065, Порт: 1900, Тип соединения: UDP
2024-03-09 03:37:42,623 - TeaMonitor Computer Network Activity -INFO - Соединение 15: Имя процесса: spoolsv.exe, PID: 3324, Протокол: ::, Порт: 49668, Тип соединения: TCP
2024-03-09 03:37:42,623 - TeaMonitor Computer Network Activity -INFO - Соединение 16: Имя процесса: msedge.exe, PID: 18824, Протокол: 0.0.0.0, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,624 - TeaMonitor Computer Network Activity -INFO - Соединение 17: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54534, Тип соединения: TCP
2024-03-09 03:37:42,624 - TeaMonitor Computer Network Activity -INFO - Соединение 18: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54561, Тип соединения: TCP
2024-03-09 03:37:42,624 - TeaMonitor Computer Network Activity -INFO - Соединение 19: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61343, Тип соединения: TCP
2024-03-09 03:37:42,624 - TeaMonitor Computer Network Activity -INFO - Соединение 20: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61363, Тип соединения: TCP
2024-03-09 03:37:42,632 - TeaMonitor Computer Network Activity -INFO - Соединение 21: Имя процесса: svchost.exe, PID: 13604, Протокол: fe80::a5c:12e:821e:e065, Порт: 2177, Тип соединения: UDP
2024-03-09 03:37:42,633 - TeaMonitor Computer Network Activity -INFO - Соединение 22: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54567, Тип соединения: TCP
2024-03-09 03:37:42,633 - TeaMonitor Computer Network Activity -INFO - Соединение 23: Имя процесса: steam.exe, PID: 8548, Протокол: 192.168.1.168, Порт: 65000, Тип соединения: TCP
2024-03-09 03:37:42,633 - TeaMonitor Computer Network Activity -INFO - Соединение 24: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54535, Тип соединения: TCP
2024-03-09 03:37:42,641 - TeaMonitor Computer Network Activity -INFO - Соединение 25: Имя процесса: svchost.exe, PID: 2496, Протокол: ::, Порт: 65431, Тип соединения: UDP
